Question,Answer
What does Class mean?,"A class is a group to which a specific example can belong to. For example, in the multi-classification model we built in the 'Classifying images of clothes' tutorial, the classes are ‘Ankle boot’, ‘T-shirt’, ‘Dress’, ‘Pullover’, etc. In a classification model, a class is your target i.e., what you want your model to predict. Also, classes appear in the dataset as a categorical feature. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
How do I use Class?,"A class is a group to which a specific example can belong to. For example, in the multi-classification model we built in the 'Classifying images of clothes' tutorial, the classes are ‘Ankle boot’, ‘T-shirt’, ‘Dress’, ‘Pullover’, etc. In a classification model, a class is your target i.e., what you want your model to predict. Also, classes appear in the dataset as a categorical feature. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
Class weighting,"Class weighting is the inclusion of a coefficient in the loss function calculation, to improve single-label classification results on imbalanced datasets.
This coefficient scales the error of each training example inversely to the frequency of its target category.Similarly to oversampling and undersampling, class weighting prevents models from achieving artificially high accuracy by only learning which class is the most frequent, i.e., the most likely to be presented to the model.Use on the platform: Select Use class weights in the Target block.Example: An imbalanced dataset containing 900 examples of class A and 100 images of class B, a classification model that always predicts A would achieve a relatively low loss and a 90% accuracy.
By scaling up the error of misclassified B examples, class weighting pushes models to learn a better representation of each class."
What is Class weighting,"Class weighting is the inclusion of a coefficient in the loss function calculation, to improve single-label classification results on imbalanced datasets.
This coefficient scales the error of each training example inversely to the frequency of its target category.Similarly to oversampling and undersampling, class weighting prevents models from achieving artificially high accuracy by only learning which class is the most frequent, i.e., the most likely to be presented to the model.Use on the platform: Select Use class weights in the Target block.Example: An imbalanced dataset containing 900 examples of class A and 100 images of class B, a classification model that always predicts A would achieve a relatively low loss and a 90% accuracy.
By scaling up the error of misclassified B examples, class weighting pushes models to learn a better representation of each class."
Can you help me with Class weighting,"Class weighting is the inclusion of a coefficient in the loss function calculation, to improve single-label classification results on imbalanced datasets.
This coefficient scales the error of each training example inversely to the frequency of its target category.Similarly to oversampling and undersampling, class weighting prevents models from achieving artificially high accuracy by only learning which class is the most frequent, i.e., the most likely to be presented to the model.Use on the platform: Select Use class weights in the Target block.Example: An imbalanced dataset containing 900 examples of class A and 100 images of class B, a classification model that always predicts A would achieve a relatively low loss and a 90% accuracy.
By scaling up the error of misclassified B examples, class weighting pushes models to learn a better representation of each class."
What does Class weighting mean?,"Class weighting is the inclusion of a coefficient in the loss function calculation, to improve single-label classification results on imbalanced datasets.
This coefficient scales the error of each training example inversely to the frequency of its target category.Similarly to oversampling and undersampling, class weighting prevents models from achieving artificially high accuracy by only learning which class is the most frequent, i.e., the most likely to be presented to the model.Use on the platform: Select Use class weights in the Target block.Example: An imbalanced dataset containing 900 examples of class A and 100 images of class B, a classification model that always predicts A would achieve a relatively low loss and a 90% accuracy.
By scaling up the error of misclassified B examples, class weighting pushes models to learn a better representation of each class."
How do I use Class weighting?,"Class weighting is the inclusion of a coefficient in the loss function calculation, to improve single-label classification results on imbalanced datasets.
This coefficient scales the error of each training example inversely to the frequency of its target category.Similarly to oversampling and undersampling, class weighting prevents models from achieving artificially high accuracy by only learning which class is the most frequent, i.e., the most likely to be presented to the model.Use on the platform: Select Use class weights in the Target block.Example: An imbalanced dataset containing 900 examples of class A and 100 images of class B, a classification model that always predicts A would achieve a relatively low loss and a 90% accuracy.
By scaling up the error of misclassified B examples, class weighting pushes models to learn a better representation of each class."
Classification,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
What is Classification,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
Can you help me with Classification,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
What does Classification mean?,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
How do I use Classification?,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve"
Clustering,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning."
What is Clustering,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning."
Can you help me with Clustering,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning."
What does Clustering mean?,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning."
How do I use Clustering?,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning."
Concatenate,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate"
What is Concatenate,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate"
Can you help me with Concatenate,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate"
What does Concatenate mean?,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate"
How do I use Concatenate?,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate"
Confusion matrix,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix"
What is Confusion matrix,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix"
Can you help me with Confusion matrix,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix"
What does Confusion matrix mean?,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix"
How do I use Confusion matrix?,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix"
Convolution operation (convolve),"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah’s excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions."
What is Convolution operation (convolve),"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah’s excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions."
Can you help me with Convolution operation (convolve),"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah’s excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions."
What does Convolution operation (convolve) mean?,"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah’s excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions."
How do I use Convolution operation (convolve)?,"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah’s excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions."
Convolutional layer,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data."
What is Convolutional layer,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data."
Can you help me with Convolutional layer,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data."
What does Convolutional layer mean?,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data."
How do I use Convolutional layer?,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data."
Convolutional neural network,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you’re working with image data."
What is Convolutional neural network,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you’re working with image data."
Can you help me with Convolutional neural network,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you’re working with image data."
What does Convolutional neural network mean?,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you’re working with image data."
How do I use Convolutional neural network?,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you’re working with image data."
Dataset,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view"
What is Dataset,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view"
Can you help me with Dataset,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view"
What does Dataset mean?,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view"
How do I use Dataset?,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view"
Deconvolution,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block"
What is Deconvolution,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block"
Can you help me with Deconvolution,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block"
What does Deconvolution mean?,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block"
How do I use Deconvolution?,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block"
Deconvolutional layer,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers."
What is Deconvolutional layer,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers."
Can you help me with Deconvolutional layer,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers."
What does Deconvolutional layer mean?,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers."
How do I use Deconvolutional layer?,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers."
