What does Classification mean?,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve",1
How do I use Classification?,"Classification is the process through which a trained model predicts (or assigns) one or several classes for one example. If the model is constrained to predict precisely one class for each example it is a single label classification model. If the model can assign each example to several classes it is a multi label classification model.To train the model, a training set needs to have multiple labeled examples for each of the desired prediction classes.Multi-label classification is a variant of classification where multiple classes (labels) may be assigned to each example.
Example: You want to know which out of a number of objects that are present in an image, where there can be both a dog and a person and a car in the same image.Single-label classification is a variant of classification where precisely one class (label) is assigned to each example.
Example: Images of skin lesions is classified into either benign or malignant, since a lesion cannot be both at the same time. You can read about Classification models - Evaluate and improve  here: https://peltarion.com/knowledge-center/documentation/improve-experiments/tips-to-improve-for-beginners/classification-models---evaluate-and-improve",1
Clustering,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning.",1
What is Clustering,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning.",1
Can you help me with Clustering,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning.",1
What does Clustering mean?,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning.",1
How do I use Clustering?,"Clustering is the process through which an algorithm tries to group data points into different clusters based on some similarity between them.Unlike classification, no model is trained beforehand to predict predefined classes (in other words, no training examples are provided). Instead, a clustering algorithm discovers by itself what relationships are found in the data and groups the individual data points based on this. This is an example of unsupervised learning.",1
Concatenate,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate",1
What is Concatenate,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate",1
Can you help me with Concatenate,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate",1
What does Concatenate mean?,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate",1
How do I use Concatenate?,"Concatenate takes any number of inputs that have the same shape, and merges them along a specified axis. The output has the same size as the sum of all sizes of the input along the axis to concatenate, and the same shape for all other axes, if any.Note that the input order is important.Concatenating can be useful to merge features coming from different parts of the model towards the end (for instance merging image features with tabular data when estimating the price of a house), or joining together multiple images that are tiles of a bigger map.Read more about how you can use the Concatenate block on the Platform here. You can read about Concatenate here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/concatenate",1
Confusion matrix,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix",1
What is Confusion matrix,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix",1
Can you help me with Confusion matrix,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix",1
What does Confusion matrix mean?,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix",1
How do I use Confusion matrix?,"A confusion matrix helps to illustrate what kinds of errors a classification model is making.If you have a binary classifier model that distinguishes between a positive and a negative class, you can define the following 4 values depending on the actual vs predicted class.The resulting matrix has 4 fields known as:True Positives (TP)True Negatives (TN)False Positives (FP),False Negatives (FN)Different combinations of these fields result in a number of key metrics, including: accuracy, precision, recall, specificity and f1 score.The confusion matrix is a compact but very informative representation of how your classification model is performing. It is the go to tool for evaluating classification models.The confusion matrix is used for binary or multiclass, single label, classification problems. You can read about Confusion matrix  here: https://peltarion.com/knowledge-center/documentation/evaluation-view/predictions-inspection/confusion-matrix",1
Convolution operation (convolve),"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah's excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions.",1
What is Convolution operation (convolve),"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah's excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions.",1
Can you help me with Convolution operation (convolve),"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah's excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions.",1
What does Convolution operation (convolve) mean?,"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah's excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions.",1
How do I use Convolution operation (convolve)?,"In the context of deep learning a convolution operation is a mathematical operation between a matrix (which usually encodes an image) and another smaller matrix called the filter, where each element of the matrix is multiplied by the filter as follows 1:For a visualization of how a filter affects a matrix, we recommend this excellent demo.For a detailed explanation of convolutions in the context of Deep Learning see Christopher Olah's excellent article or Dumoulin, V., Visin, F. (2016). A guide to convolution arithmetic for deep learning. arXiv:1603.07285v2, a fantastic paper.1 Technically this is actually called cross-correlation, which is very closely related to convolutions.",1
Convolutional layer,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data.",1
What is Convolutional layer,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data.",1
Can you help me with Convolutional layer,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data.",1
What does Convolutional layer mean?,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data.",1
How do I use Convolutional layer?,"A convolutional layer applies the convolution operation between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a convolutional layer under the name of '2D Convolution.'This type of layer helps you take advantage of the spatial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By applying the same filter to all positions of an image, they can help reduce the number of parameters of your model compared to fully connected layers.Use convolutional layers on data where the spacial relationships of the data are important, like images. In theory, you can also try using convolutional layers on sequential or time series data, but LSTM units are more tailored for this data.",1
Convolutional neural network,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you're working with image data.",1
What is Convolutional neural network,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you're working with image data.",1
Can you help me with Convolutional neural network,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you're working with image data.",1
What does Convolutional neural network mean?,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you're working with image data.",1
How do I use Convolutional neural network?,"A convolutional neural network is a type of neural network that makes use of convolutional, pooling and dense layers.They are tailored to take advantage of the spacial information in your data e.g., the relationships between adjacent pixels in an image (this reflects the intuition that features in an image are often not dependent on the position). By convolving the input data with the filters of the convolutional layers and subsequently pooling their outputs with pooling layer, convolutional neural networks are able to reduce the number of parameters that your model needed to learn from the data, when compared to fully connected layers.Use convolutional neural networks when you're working with image data.",1
Dataset,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view",1
What is Dataset,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view",1
Can you help me with Dataset,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view",1
What does Dataset mean?,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view",1
How do I use Dataset?,"A dataset is a collection of data. A machine learning dataset will contain features that are used to predict the desired targets. Each entry in the dataset is an example that is used to either train, validate or test the model. You can read about Datasets view here: /knowledge-center/documentation/datasets-view",1
Deconvolution,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block",1
What is Deconvolution,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block",1
Can you help me with Deconvolution,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block",1
What does Deconvolution mean?,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block",1
How do I use Deconvolution?,"Deconvolution performs an opposite operation to the convolution operation. This is also referred to as transposed convolution, which better reflects the actual mathematical operation.The deconvolution operation is used when we transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions. Convolution is not itself an invertible operation, which means we cannot simply go from output back to the input. Deconvolution layers have instead to learn weights in the same way as convolution layers.Autoencoders and image segmentation models are examples of models that make use of deconvolutions. You can read about 2D Deconvolution block here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/2d-deconvolution-block",1
Deconvolutional layer,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers.",1
What is Deconvolutional layer,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers.",1
Can you help me with Deconvolutional layer,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers.",1
What does Deconvolutional layer mean?,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers.",1
How do I use Deconvolutional layer?,"A deconvolutional layer applies the deconvolution (or more correctly the transposed convolution operation) between its filters and its input. On the Peltarion Platform, you can find the 2 dimensional implementation of a deconvolutional layer under the name of '2D Deconvolution.'This type of layer helps you transform the output of a convolution back into a tensor that has the same shape as the input of that convolution, which is useful if we want a model that transforms images into other images, instead of just giving categorical or scalar predictions.Autoencoders and image segmentation models are examples of models that make use of deconvolutional layers.",1
Dense (or fully connected) layer,"In a dense layer every node of the layer is connected to every node in the subsequent layer. Thus, it feeds all outputs from the previous layer to all its nodes, each of which provides one output to the subsequent layer. On the Peltarion Platform this layer is represented by the dense block.A dense layer is the most basic layer of a neural network. The combination of more than 1 of these layers results in the classsical type of neural network or multilayer perceptorn (MLP). They are very flexible in nature and can in general learn almost any mapping from inputs to outputs.Use dense layers to build complete networks that are used for classification or prediction problems on tabular data. You can also use dense layers as the last layer(s) before the convolutional layers or recurrent neural networks. You can read about Dense here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/dense",1
What is Dense (or fully connected) layer,"In a dense layer every node of the layer is connected to every node in the subsequent layer. Thus, it feeds all outputs from the previous layer to all its nodes, each of which provides one output to the subsequent layer. On the Peltarion Platform this layer is represented by the dense block.A dense layer is the most basic layer of a neural network. The combination of more than 1 of these layers results in the classsical type of neural network or multilayer perceptorn (MLP). They are very flexible in nature and can in general learn almost any mapping from inputs to outputs.Use dense layers to build complete networks that are used for classification or prediction problems on tabular data. You can also use dense layers as the last layer(s) before the convolutional layers or recurrent neural networks. You can read about Dense here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/dense",1
Can you help me with Dense (or fully connected) layer,"In a dense layer every node of the layer is connected to every node in the subsequent layer. Thus, it feeds all outputs from the previous layer to all its nodes, each of which provides one output to the subsequent layer. On the Peltarion Platform this layer is represented by the dense block.A dense layer is the most basic layer of a neural network. The combination of more than 1 of these layers results in the classsical type of neural network or multilayer perceptorn (MLP). They are very flexible in nature and can in general learn almost any mapping from inputs to outputs.Use dense layers to build complete networks that are used for classification or prediction problems on tabular data. You can also use dense layers as the last layer(s) before the convolutional layers or recurrent neural networks. You can read about Dense here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/dense",1
What does Dense (or fully connected) layer mean?,"In a dense layer every node of the layer is connected to every node in the subsequent layer. Thus, it feeds all outputs from the previous layer to all its nodes, each of which provides one output to the subsequent layer. On the Peltarion Platform this layer is represented by the dense block.A dense layer is the most basic layer of a neural network. The combination of more than 1 of these layers results in the classsical type of neural network or multilayer perceptorn (MLP). They are very flexible in nature and can in general learn almost any mapping from inputs to outputs.Use dense layers to build complete networks that are used for classification or prediction problems on tabular data. You can also use dense layers as the last layer(s) before the convolutional layers or recurrent neural networks. You can read about Dense here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/dense",1
How do I use Dense (or fully connected) layer?,"In a dense layer every node of the layer is connected to every node in the subsequent layer. Thus, it feeds all outputs from the previous layer to all its nodes, each of which provides one output to the subsequent layer. On the Peltarion Platform this layer is represented by the dense block.A dense layer is the most basic layer of a neural network. The combination of more than 1 of these layers results in the classsical type of neural network or multilayer perceptorn (MLP). They are very flexible in nature and can in general learn almost any mapping from inputs to outputs.Use dense layers to build complete networks that are used for classification or prediction problems on tabular data. You can also use dense layers as the last layer(s) before the convolutional layers or recurrent neural networks. You can read about Dense here: https://peltarion.com/knowledge-center/documentation/modeling-view/build-an-ai-model/blocks/dense",1
Dimensionality reduction,"Dimensionality reduction is the process of converting your data into a low(er) dimensional representation, while retaining as much information as possible. In practice this implies identifying the features in your dataset that are the most important for the model to achieve the desired objective (a.k.a., the principal variables), and then either discarding or summarizing the remaining features in terms of the principal variables.Dimensionality reduction is useful to ""reduce the amount of unnecessary information"" in your data, which can help speed up model training and in some cases help reduce overfitting.Use dimensionality reduction on datasets that have a large number of features as part of your data preprocessing step. Dimensionality reduction is also used in various embedding techniques.",1
What is Dimensionality reduction,"Dimensionality reduction is the process of converting your data into a low(er) dimensional representation, while retaining as much information as possible. In practice this implies identifying the features in your dataset that are the most important for the model to achieve the desired objective (a.k.a., the principal variables), and then either discarding or summarizing the remaining features in terms of the principal variables.Dimensionality reduction is useful to ""reduce the amount of unnecessary information"" in your data, which can help speed up model training and in some cases help reduce overfitting.Use dimensionality reduction on datasets that have a large number of features as part of your data preprocessing step. Dimensionality reduction is also used in various embedding techniques.",1
Can you help me with Dimensionality reduction,"Dimensionality reduction is the process of converting your data into a low(er) dimensional representation, while retaining as much information as possible. In practice this implies identifying the features in your dataset that are the most important for the model to achieve the desired objective (a.k.a., the principal variables), and then either discarding or summarizing the remaining features in terms of the principal variables.Dimensionality reduction is useful to ""reduce the amount of unnecessary information"" in your data, which can help speed up model training and in some cases help reduce overfitting.Use dimensionality reduction on datasets that have a large number of features as part of your data preprocessing step. Dimensionality reduction is also used in various embedding techniques.",1
What does Dimensionality reduction mean?,"Dimensionality reduction is the process of converting your data into a low(er) dimensional representation, while retaining as much information as possible. In practice this implies identifying the features in your dataset that are the most important for the model to achieve the desired objective (a.k.a., the principal variables), and then either discarding or summarizing the remaining features in terms of the principal variables.Dimensionality reduction is useful to ""reduce the amount of unnecessary information"" in your data, which can help speed up model training and in some cases help reduce overfitting.Use dimensionality reduction on datasets that have a large number of features as part of your data preprocessing step. Dimensionality reduction is also used in various embedding techniques.",1
How do I use Dimensionality reduction?,"Dimensionality reduction is the process of converting your data into a low(er) dimensional representation, while retaining as much information as possible. In practice this implies identifying the features in your dataset that are the most important for the model to achieve the desired objective (a.k.a., the principal variables), and then either discarding or summarizing the remaining features in terms of the principal variables.Dimensionality reduction is useful to ""reduce the amount of unnecessary information"" in your data, which can help speed up model training and in some cases help reduce overfitting.Use dimensionality reduction on datasets that have a large number of features as part of your data preprocessing step. Dimensionality reduction is also used in various embedding techniques.",1
